drug_id,drug_smile
gedunin,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C
antimycin-a,CCCCCCC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C
oligomycin-a,CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C
ZD-7288,
U-0126,C1=CC=C(C(=C1)N)SC(=C(C#N)C(=C(N)SC2=CC=CC=C2N)C#N)N
SID-26681509,CCC1=CC=CC=C1NC(=O)CSC(=O)NNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)OC(C)(C)C
palmitoylethanolamide,CCCCCCCCCCCCCCCC(=O)NCCO
ioxaglic-acid,CC(=O)N(C)C1=C(C(=C(C(=C1I)C(=O)NCC(=O)NC2=C(C(=C(C(=C2I)C(=O)O)I)C(=O)NCCO)I)I)C(=O)NC)I
ketoprofen,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl
zoxazolamine,C1=CC2=C(C=C1Cl)N=C(O2)N
dinoprostone,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O
TW-37,CC(C)C1=CC=CC=C1CC2=CC(=C(C(=C2O)O)O)C(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=CC=C4C(C)(C)C
T-98475,CC(C)C(=O)NC1=CC=C(C=C1)C2=C(C3=C(S2)N(C=C(C3=O)C(=O)OC(C)C)CC4=C(C=CC=C4F)F)CN(C)CC5=CC=CC=C5
bisphenol-a,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
meprylcaine,CCCNC(C)(C)COC(=O)C1=CC=CC=C1
anagrelide,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3
cytochalasin-d,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O
palbociclib,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C
AM-580,CC1(CCC(C2=C1C=CC(=C2)C(=O)NC3=CC=C(C=C3)C(=O)O)(C)C)C
etomoxir,
resveratrol,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O
tacedinaline,CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N
5-nonyloxytryptamine,CCCCCCCCCOC1=CC2=C(C=C1)NC=C2CCN
SB-225002,C1=CC=C(C(=C1)NC(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])O)Br
sertaconazole,C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl
WZ-4002,CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)OC4=CC=CC(=C4)NC(=O)C=C)Cl)OC
SCH-79797,CC(C)C1=CC=C(C=C1)CN2C=CC3=C2C=CC4=C3C(=NC(=N4)NC5CC5)N
stavudine,CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO
SU-11274,CC1=C(NC(=C1C(=O)N2CCN(CC2)C)C)C=C3C4=C(C=CC(=C4)S(=O)(=O)N(C)C5=CC(=CC=C5)Cl)NC3=O
saclofen,C1=CC(=CC=C1C(CN)CS(=O)(=O)O)Cl
SB-216763,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
PG-9,CC(C1=CC=C(C=C1)Br)C(=O)OC2CC3CCC(C2)N3C
alimemazine,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C
milnacipran,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2
CP-94253,CCCOC1=NC2=C(C=C1)NC=C2C3=CCNCC3
letrozole,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
febuxostat,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O
edaravone,CC1=NN(C(=O)C1)C2=CC=CC=C2
LY-456236,COC1=CC=C(C=C1)NC2=NC=NC3=C2C=C(C=C3)OC.Cl
trazodone,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl
GSK-461364,CC(C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)CN5CCN(CC5)C)C(=O)N
fluphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
granisetron,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C
tyrphostin-A9,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=C(C#N)C#N
ipratropium,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C
pinocembrin,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
vorinostat,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
itraconazole,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl
imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
oxymetholone,CC12CCC3C(C1CCC2(C)O)CCC4C3(CC(=CO)C(=O)C4)C
desoxycortone,CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C
nemonapride,CC1C(CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl
RX-821002,COC1(COC2=CC=CC=C2O1)C3=NCCN3
mefexamide,CCN(CC)CCNC(=O)COC1=CC=C(C=C1)OC
arctigenin,COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)O)OC)OC
CAY-10618,
CGP-57380,C1=CC(=CC=C1NC2=C3C(=NC=NC3=NN2)N)F
piperine,C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3
escitalopram,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
vincristine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
pimozide,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
lofepramine,CN(CCCN1C2=CC=CC=C2CCC3=CC=CC=C31)CC(=O)C4=CC=C(C=C4)Cl
rutin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
CAM-9-026,CC1CCCCOC(C(CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=CC=C3)C(C)COC(=O)C(C)(C)C)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)F
clomifene,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3
tyrphostin-51,C1=C(C=C(C(=C1O)O)O)C=C(C#N)C(=C(C#N)C#N)N
azelastine,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
quinapril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC=CC=C3CC2C(=O)O
irsogladine,C1=CC(=C(C=C1Cl)C2=NC(=NC(=N2)N)N)Cl
indapamide,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
6-aminochrysene,C1=CC=C2C(=C1)C=CC3=C2C=C(C4=CC=CC=C34)N
ABT-737,CN(C)CCC(CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ezetimibe,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O
bimatoprost,CCNC(=O)CCCC=CCC1C(CC(C1C=CC(CCC2=CC=CC=C2)O)O)O
profenamine,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31
NSC-663284,C1COCCN1CCNC2=C(C(=O)C3=C(C2=O)N=CC=C3)Cl
tretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
diphenidol,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O
bupropion,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
RS-45041-190,C1CN=C(N1)N2CC3=C(C2)C(=CC=C3)Cl
L-689560,C1C(C2=C(C=C(C=C2Cl)Cl)NC1C(=O)O)NC(=O)NC3=CC=CC=C3
wortmannin,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C
JW-7-24-1,COC1=CC(=CC(=C1)C2=CC3=C4C(=CN=C3C=C2)C=CC(=O)N4C5=CC(=C(C=C5)N6CCNCC6)C(F)(F)F)OC
AY-9944,C1CC(CCC1CNCC2=CC=CC=C2Cl)CNCC3=CC=CC=C3Cl.Cl.Cl
ispinesib,CC1=CC=C(C=C1)C(=O)N(CCCN)C(C2=NC3=C(C=CC(=C3)Cl)C(=O)N2CC4=CC=CC=C4)C(C)C
dexchlorpheniramine,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
ipriflavone,CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3
lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
JZL-184,C1CN(CCC1C(C2=CC3=C(C=C2)OCO3)(C4=CC5=C(C=C4)OCO5)O)C(=O)OC6=CC=C(C=C6)[N+](=O)[O-]
ST-638,CCOC1=CC(=CC(=C1O)CSC2=CC=CC=C2)C=C(C#N)C(=O)N
brazilin,C1C2=CC(=C(C=C2C3C1(COC4=C3C=CC(=C4)O)O)O)O
tetrabenazine,CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC
MW-STK33-3B,
VU-0365114-2,
ramipril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O
SB-431542,C1OC2=C(O1)C=C(C=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5
MDM2-inhibitor,B(C1=CC=C(C=C1)C(=O)C=CC2=CC=C(C=C2)I)(O)O
pregnenolone,CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
cetirizine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
siguazodan,CC1CC(=O)NN=C1C2=CC=C(C=C2)NC(=NC)NC#N
RS-100329,CC1=CNC(=O)N(C1=O)CCCN2CCN(CC2)C3=CC=CC=C3OCC(F)(F)F
terreic-acid,CC1=C(C(=O)C2C(C1=O)O2)O
NVP-TAE684,CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC
AR-C133057XX,COC1=CC(=NC=C1)NC2CCN(CC2)C(=O)C3=CC=C(C=C3)C#N
L-168049,CCCOC1=C(C=C(C=C1)Br)C2=C(NC(=C2)C3=CC=C(C=C3)Cl)C4=CC=NC=C4
fursultiamine,CC1=NC=C(C(=N1)N)CN(C=O)C(=C(CCO)SSCC2CCCO2)C
aliskiren,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
O-2050,CC1=CCC2C(C1)C3=C(C=C(C=C3OC2(C)C)CC#CCCCNS(=O)(=O)C)O
NAS-181,CS(=O)(=O)O.C1COC(CN1)COC2=CC=CC3=C2OCC(=C3)CN4CCOCC4
asiatic-acid,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)O
U-74389F,CC12CC=C3C(C1CCC2C(=O)CN4CCN(CC4)C5=NC(=NC(=C5)N6CCCC6)N7CCCC7)CCC8=CC(=O)C=CC83C.CS(=O)(=O)O
aminopurvalanol-a,CC(C)C(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=CC(=C3)N)Cl
haloperidol,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
floxuridine,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
reserpic-acid,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)O)NC5=C4C=CC(=C5)OC)O
benzthiazide,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N
diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
WAY-170523,CC1=CC(=C(C(=C1)C(=O)NO)N(CC2=CC=CC=C2)S(=O)(=O)C3=CC=C(C=C3)OCCNC(=O)C4=CC5=CC=CC=C5O4)C
H-8,CNCCNS(=O)(=O)C1=CC=CC2=C1C=CN=C2
SB-203580,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F
tianeptine,CN1C2=CC=CC=C2C(C3=C(S1(=O)=O)C=C(C=C3)Cl)NCCCCCCC(=O)O
LY-320135,COC1=CC=C(C=C1)C2=C(C3=C(O2)C=C(C=C3)OC)C(=O)C4=CC=C(C=C4)C#N
VU-0400071-3,
spectinomycin,CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O
alclometasone,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl
AMN-082,C1=CC=C(C=C1)C(C2=CC=CC=C2)NCCNC(C3=CC=CC=C3)C4=CC=CC=C4
zamifenacin,C1CC(CN(C1)CCC2=CC3=C(C=C2)OCO3)OC(C4=CC=CC=C4)C5=CC=CC=C5
GW-5074,C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2
tofacitinib,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N
ZK-756326,C1CN(CCN1CCOCCO)CC2=CC(=CC=C2)OC3=CC=CC=C3.Cl.Cl
HO-013,
valproic-acid,CCCC(CCC)C(=O)O
dioxybenzone,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2O)O
vindesine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)N)O)O)CC)OC)C(=O)OC)O
KIN001-127,CC1=CC(=C(C=C1SC2=CN=C(S2)NC(=O)C3=CC=C(C=C3)CNC(C)C(C)C)C(=O)N4CCN(CC4)C(=O)C)OC
acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
pirenperone,CC1=C(C(=O)N2C=CC=CC2=N1)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F
tolmetin,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)O
norgestimate,CCC12CCC3C(C1CCC2(C#C)OC(=O)C)CCC4=CC(=NO)CCC34
pefloxacin,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O
safinamide,CC(C(=O)N)NCC1=CC=C(C=C1)OCC2=CC(=CC=C2)F
metergoline,CN1CC(CC2C1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5
isorotenone,CC(C)C1=CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC
dovitinib,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=C(C5=C(C=CC=C5F)NC4=O)N
verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
protriptyline,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13
FPL-55712,CCCC1=C(C=CC(=C1O)C(=O)C)OCC(COC2=C(C3=C(C=C2)C(=O)C=C(O3)C(=O)[O-])CCC)O.[Na+]
oxybutynin,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
nilotinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
carbenoxolone,CC1(C2CCC3(C(C2(CCC1OC(=O)CCC(=O)O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
BMS-754807,CC1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F
AZ-628,CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(C)(C)C#N)NC3=CC4=C(C=C3)N=CN(C4=O)C
tizanidine,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl
XMD-1150,
hydrastinine,CN1CCC2=CC3=C(C=C2C1O)OCO3
ZM-39923,CC(C)N(CCC(=O)C1=CC2=CC=CC=C2C=C1)CC3=CC=CC=C3
flurofamide,C1=CC(=CC=C1C(=O)NP(=O)(N)N)F
amlodipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
colforsin,CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O
VX-702,C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F
CD-437,C1C2CC3CC1CC(C2)(C3)C4=C(C=CC(=C4)C5=CC6=C(C=C5)C=C(C=C6)C(=O)O)O
cyanopindolol,CC(C)(C)NCC(COC1=CC=CC2=C1C=C(N2)C#N)O
physostigmine,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C
HTMT,CC(CCCCC(=O)NC1=CC=C(C=C1)C(F)(F)F)NCCC2=CN=CN2
ALW-II-49-7,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=CN=CC(=C3)C(=O)N
temozolomide,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N
T-0156,CC1=NC=CC(=C1)CN2C(=C(C3=C(C2=O)C(=NC=C3)OCC4=NC=CC=N4)C5=CC(=C(C(=C5)OC)OC)OC)C(=O)OC
KU-C103885,
JTE-907,CCCCCOC1=C(C=CC2=C1NC(=O)C(=C2)C(=O)NCC3=CC4=C(C=C3)OCO4)OC
NM-PP1,CC(C)(C)N1C2=NC=NC(=C2C(=N1)CC3=CC=CC4=CC=CC=C43)N
erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
SR-27897,C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl
cyproterone,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)O
AICA-ribonucleotide,C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N
ondansetron,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C
byssochlamic-acid,CCCC1CC2=C(CC(CC3=C1C(=O)OC3=O)CC)C(=O)OC2=O
SC-9,C1=CC=C(C=C1)CCCCCCNS(=O)(=O)C2=CC=CC3=C2C=CC=C3Cl
ICI-199441,CN(C(CN1CCCC1)C2=CC=CC=C2)C(=O)CC3=CC(=C(C=C3)Cl)Cl
CAY-10585,
GW-1929,CN(CCOC1=CC=C(C=C1)CC(C(=O)O)NC2=CC=CC=C2C(=O)C3=CC=CC=C3)C4=CC=CC=N4
parbendazole,CCCCC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
GR-55562,CN(C)CCCC1=C(C=CC(=C1)C(=O)NC2=CC=C(C=C2)C3=CC=NC=C3)O
estradiol-cypionate,CC12CCC3C(C1CCC2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O
VU-0366037-2,
curcumin,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
atracurium,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C
thapsigargin,CCCCCCCC(=O)OC1C2C(=C(C1OC(=O)C(=CC)C)C)C3C(C(CC2(C)OC(=O)C)OC(=O)CCC)(C(C(=O)O3)(C)O)O
nomifensine,CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3
diphenyleneiodonium,C1=CC=C2C(=C1)C3=CC=CC=C3[I+]2
ganciclovir,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N
PNU-120596,CC1=CC(=NO1)NC(=O)NC2=CC(=C(C=C2OC)OC)Cl
clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
JNJ-16259685,COC1CCC(CC1)C(=O)C2=CC3=CC4=C(N=C3C=C2)OCCC4
oxfendazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3
GDC-0879,C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCO
ganglioside,CCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)OC3(CC(C(C(O3)C(C(CO)OC)O)NC(=O)CO)O)C(=O)O)O)O)O)C(C=CCCCCCCCCCCC(C)C)O
propentofylline,CCCN1C=NC2=C1C(=O)N(C(=O)N2C)CCCCC(=O)C
alisertib,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC
JLK-6,COC1=C(C2=C(C=C(C=C2)N)C(=O)O1)Cl
NSC-3852,C1=CC2=C(C=CC(=C2N=C1)O)N=O
miglitol,C1C(C(C(C(N1CCO)CO)O)O)O
U-46619,CCCCCC(C=CC1C2CC(C1CC=CCCCC(=O)O)CO2)O
ICI-89406,C1=CC=C(C=C1)NC(=O)NCCNCC(COC2=CC=CC=C2C#N)O
GTP-14564,C1=CC=C(C=C1)C2=NNC3=C2OC4=CC=CC=C43
alpha-estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
lamotrigine,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
scoulerine,COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)OC)O)C=C1)O
rifampicin,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C
tolbutamide,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
dihydrodeoxygedunin,CC(=O)OC1CC2C(C(=O)CCC2(C3C1(C4=CC(=O)OC(C4(CC3)C)C5=COC=C5)C)C)(C)C
BI-2536,CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C
ABT-751,COC1=CC=C(C=C1)S(=O)(=O)NC2=C(N=CC=C2)NC3=CC=C(C=C3)O
triprolidine,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC=N3
VER-155008,C1=CC(=CC=C1COCC2C(C(C(O2)N3C4=NC=NC(=C4N=C3NCC5=CC(=C(C=C5)Cl)Cl)N)O)O)C#N
propylthiouracil,CCCC1=CC(=O)NC(=S)N1
remacemide,CC(CC1=CC=CC=C1)(C2=CC=CC=C2)NC(=O)CN
azasetron,CN1C(=O)COC2=C(C=C(C=C21)Cl)C(=O)NC3CN4CCC3CC4
pantoprazole,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
androstenedione,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C
pinacidil,CC(C(C)(C)C)N=C(NC#N)NC1=CC=NC=C1.O
nortriptyline,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
CGP-71683,
tolazoline,C1CN=C(N1)CC2=CC=CC=C2
reversine,C1CCC(CC1)NC2=NC(=NC3=C2NC=N3)NC4=CC=C(C=C4)N5CCOCC5
pilocarpine,CCC1C(COC1=O)CC2=CN=CN2C
eugenol,COC1=C(C=CC(=C1)CC=C)O
ZK-164015,CCCCCS(=O)(=O)CCCCCCCCCCN1C2=C(C=C(C=C2)O)C(=C1C3=CC=C(C=C3)O)C
selumetinib,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO
NCS-382,C1CC2=CC=CC=C2C(C(=CC(=O)O)C1)O
CP-93129,C1CNCC=C1C2=CNC3=C2NC(=O)C=C3
primaquine,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2
YC-1,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO
TCB2,COC1=CC(=C(C2=C1C(C2)CN)OC)Br.Br
DAU-5884,CN1C2CCC1CC(C2)OC(=O)N3CC4=CC=CC=C4NC3=O.Cl
xaliproden,C1CN(CC=C1C2=CC(=CC=C2)C(F)(F)F)CCC3=CC4=CC=CC=C4C=C3
KU-55933,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4
quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
dosulepin,
quinine,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
ozagrel,C1=CC(=CC=C1CN2C=CN=C2)C=CC(=O)O
2-aminopurine,C1=C2C(=NC(=N1)N)N=CN2
hispidin,C1=CC(=C(C=C1C=CC2=CC(=CC(=O)O2)O)O)O
tiabendazole,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
orphenadrine,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
roscovitine,CCC(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3
SB-205607,CN1CCC2(CC3=NC4=CC=CC=C4C=C3CC2C1)C5=CC(=CC=C5)O
doxorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
Y-26763,CC(=O)N(C1C(C(OC2=C1C=C(C=C2)C#N)(C)C)O)O
